,Dictyota.dichotoma,Halopteris.filicina,Lobophora.variegata,Pseudolithoderma.adriaticum,Acrothamnion.preissii,Corallina.elongata,Hildenbrandia.crouaniorum,Lithophyllum.cabiochae,Lithophyllum.stictaeforme,Mesophyllum.alternans,Neogoniolithon.brassica.florida,Peyssonnelia.bornetii,Peyssonnelia.rosa.marina,Peyssonnelia.rubra,Peyssonnelia.squamaria,Palmophyllum.crassum,Acanthella.acuta,Agelas.oroides,Axinella.damicornis,Chondrilla.nucula,Chondrosia.reniformis,Clathrina.contorta,Clathrina.clathrus,Clathrina.taronja,Cliona.celata,Cliona.viridis,Corticium.candelabrum,Crambe.crambe,Crambe.taillezii,Crella.cf.incrustans,Dendroxea.lenis,Desmanthus.incrustans,Diplastrella.bistellata,Diplastrella.bistellata2,Dysidea.avara,Eurypon.sp,Haliclona.mucosa,Hemimycale.columella,Hymedesmia.sp,Ircinia.variabilis,Ircinia.oros,Ircinia.sp,Merlia.normani,Merlia.deficiens,Merlia.lipoclavidisca,Mycale cf.,Petrosia.ficiformis,Phorbas.tenacior,Pleraplysilla.spinifera,Raspaciona.aculeata,Spirastrella.cunctatrix,Spirastrella.magica,Spongia.virgultosa,Sycon.elegans,Terpios.fugax,Tethya.aurantium,Astroides.calycularis,Caryophyllia.inornata,Eudendrium.sp,Hidrozoa.unidentified,Hoplangia.durotrix,Leptopsammia.pruvoti,Madracis.pharensis,Polycyathus.muellerae,Bugulina.flabellata,Bugulina.calathus,Celleporina.caminata,Crisia.sp,Lichenopora.radiata,Myriapora.truncata,Pentapora.ottomuelleriana,Pherusella.cf.tubulosa ,Puellina.radiata,Reptadeonella.violacea,Reteporella.grimaldii,Rhynchozoon.bispinosum,Schizoporella.cf.errata,Bonellia.viridis,Protula.sp,Sabella.spallanzani,Salmacina.dysteri,Serpula.sp,Spirobranchus.sp,Prostheceraeus.roseus,Arca.noae,Hexaplex.trunculus,Mytilus.galloprovincialis,Rocellaria.dubia,Tarantinea.lignarius,Thais.haemastoma,Thylacodes.arenarius,Arbacia.lixula,Echinaster.sepositus,Ophiothrix.fragilis,Miniacina.miniacea,Balanus.sp,Clibanarius.erythropus,Dromia.personata,Cystodites.dellechiajei,Didemnidae.gros.blanc,Didemnum.sp,Diplosoma.spongiforme,Eudistoma.banyulense,Lissoclinum.perforatum,Polysyncraton.lacazei,Polysyncraton.lacazei.elegans,Pycnoclavella.blanca,Pyura.dura,Turf,Bare.substrate
18V3,0,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,27.45098039,0,0,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960784314,0,0,0,0,25.49019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588
19V3,0,0,0,0,0,0,11.9047619,0,0,0,0,0,0,0,0,0,0,2.380952381,0,0,19.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,14.28571429,0,0,0,0,0,0,0,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429
20V3,0,0,0,0,0,0,8.510638298,0,0,0,0,0,0,0,0,0,0,0,0,0,40.42553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.382978723
21V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.05405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51351351
22V3,0,0,0,0,0,0,15.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333
23V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.803921569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68627451,0,0,0,0,15.68627451,0,0,0,0,0,0,0,0,0,0,0,0,0,39.21568627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.803921569,0,0,0,0,0,0,0,0,0,0,0,0,0,9.803921569
24V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.55555556,0,0,0,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111
25V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,11.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714286,11.42857143,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429
26V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.28205128,0,0,0,0,0,0,0,2.564102564,0,10.25641026,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0,25.64102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692
27V3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.89473684,0,0,0,0,0,0,0,13.15789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.894736842
28V3,0,0,0,0,0,0,7.843137255,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960784314,0,0,0,0,0,0,0,29.41176471,0,0,0,3.921568627,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.921568627,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7254902
